3Ltr,Company,Country,Telephony,FriendlyName
MCS,MCS AEROCARGA DE MEXICO S.A. DE C.V.,MEXICO,CARMEX,Mcs Aerocarga De Mexico
MCT,"TRANSPORTACION AEREA DEL MAR DE CORTES, S.A. DE C.V.",MEXICO,TRANS CORTES,Transportacion Aerea Del Mar De Cortes
MCV,"MTC AVIACION, S.A. DE C.V.",MEXICO,MTC AVIACION,MTC Aviacion
MCW,AVIATION MACHINE WORKS - CENTRAFRIQUE (AMW-CENTRAFRIQUE),CENTRAL AFRICAN REPUBLIC,MACHINE WORKS,Aviation Machine Works Centrafrique
MCX,CARGO EXPRESS,MAURITANIA,MAURICARGO,Cargo Express
MCY,AMBULANCE AIR AFRICA,SOUTH AFRICA,MERCY,Ambulance Air Africa
MDA,MANDARIN AIRLINES,CHINA,MANDARIN,Mandarin Airlines
MDB,"VERTICAL AVIATION, LLC",UNITED STATES,MARIANAS,Vertical Aviation
MDD,MDLR AIRLINES,INDIA,,MDLR Airlines
MDE,MAURITANIENNE DE TRANSPORT AERIEN,MAURITANIA,MAURI-TRANS,Mauritanienne De Transport Aerien
MDF,SWIFTAIR HELLAS S.A.,GREECE,MED-FREIGHT,Swiftair Hellas
MDG,"AIR MADAGASCAR, SOCIETE NATIONALE MALGACHE DE TRANSPORTS AERIENS",MADAGASCAR,AIR MADAGASCAR,Air Madagascar
MDI,IAS MEDICAL LTD,UNITED KINGDOM,MEDOPS,IAS Medical
MDK,MADIKWE CHARTER CC,SOUTH AFRICA,MADIKWE,Madikwe Charter
MDM,MEDAVIA COMPANY LTD,MALTA,MEDAVIA,Medavia
MDN,MCDAN AVIATION SAN MARINO S.R.L.,SAN MARINO,MACDAN,McDan Aviation
MDO,MEL AIR LIMITED,MALTA,KUDA,Mel Air Limited
MDR,"COMPANIA MEXICANA DE AEROPLANOS, S.A.",MEXICO,AEROPLANOS,Compania Mexicana De Aeroplanos
MDS,"MCNEELY CHARTER SERVICES, INC. (WEST MEMPHIS, AR)",UNITED STATES,MID-SOUTH,McNeely Charter Services
MDT,SUNDT AIR A/S,NORWAY,MIDNIGHT,Sundt Air
MDW,FLYAWESOME LIMITED,MALTA,MEDWING,Flyawesome Limited
MDX,MEDAIR CHARTER (PTY) LTD,SOUTH AFRICA,MEDAIR,Medair Charter
MDZ,MDL AVIATION INTERNATIONAL SERVICES,PAKISTAN,,Mdl Aviation International Services
MEA,MIDDLE EAST AIRLINES - AIRLIBAN,LEBANON,CEDAR JET,Middle East Airlines
MEC,"MERCURY AIRCOURIER SERVICE (SALT LAKE CITY, UT)",UNITED STATES,MERCAIR,Mercury Aircourier Service
MED,MED AIRWAYS,LEBANON,,Med Airways
MEF,AIR MERIDIAN LIMITED,NIGERIA,EMPENNAGE,Air Meridan
MEI,"MERLIN AIRWAYS, INC. (BILLINGS, MT)",UNITED STATES,AVALON,Merlin Airways
MEJ,"AIRMED INTERNATIONAL LLC (BIRMINGHAM, AL)",UNITED STATES,MEDJET,Airmed International
MEK,"MED-TRANS OF FLORIDA, INC. (TAMPA, FL)",UNITED STATES,MED-TRANS,Med-Trans of Florida
MEL,MEGA LINHAS AEREAS,BRAZIL,MEGA AIR,Mega Linhas Aereas
MEM,MERIDIAN LTD,UKRAINE,MERIDIAN CHERRY,Meridian
MEN,MAE AIRCRAFT MANAGEMENT,BAHRAIN,RAHAL,MAE Aircraft Management
MER,"METHOW AVIATION, INC. (EAST WENATCHEE, WA)",UNITED STATES,METHOW,Methow Aviation
MES,"MESABA AVIATION (GRAND RAPIDS, MN)",UNITED STATES,MESABA,Mesaba Airlines
MET,METEOROLOGICAL RESEARCH FLIGHT,UNITED KINGDOM,METMAN,Meteorological Research Flight
MEV,MED-VIEW AIRLINES (NIGERIA) LIMITED,NIGERIA,MED-VIEW,Med View Airlines Limited
MEX,S.C. NETEX CONSULTING S.R.L.,ROMANIA,,Netex Consulting
MFA,MARTYN FIDDLER ASSOCIATES,UNITED KINGDOM,SEAHORSE,Martyn Fiddler Associates
MFB,MOUNTAIN FLYERS 80 LTD,SWITZERLAND,MOUNTAINHELI,Mountain Flyers
MFC,CANLINK AVIATION INC.,CANADA,EAST WIND,Canlink Aviation
MFD,"MONARCH AIR GROUP, LLC (FT. LAUDERDALE, FL)",UNITED STATES,FREIGHT DOG,Monarch Air Group
MFG,MID AFRICA AVIATION,GAMBIA,MID AFRICA,Mid Africa Aviation
MFJ,SOLENTA AVIATION MOZAMBIQUE SA,MOZAMBIQUE,SEGURO,Solenta Aviation Mozambique
MFL,"AERO MCFLY, S.A. DE C.V.",MEXICO,MCFLY,Aero McFly
MFR,"MIDLINE AIR FREIGHT (OWENSBORO, KY)",UNITED STATES,MIDLINE FREIGHT,Midline Air Freight
MFT,MULTIFLIGHT LTD,UNITED KINGDOM,YORKAIR,Multiflight
MFX,MY FREIGHTER,UZBEKISTAN,WHITEBIRD,My Freighter
MFY,"MEDIFLY, S.A. DE C.V.",MEXICO,MEDIFLY MEX,Medifly
MGA,M G AVIACION S.L.,SPAIN,MAG AVIACION,MG Aviacion
MGC,AIR CARGO MONGOLIA,MONGOLIA,MONGOLIA CARGO,Air Cargo Mongolia
MGD,"MIAMI AIR LEASE, INC. (MIAMI, FL)",UNITED STATES,MIAMI AIR,Miami Air Lease
MGE,"AERO-MICRONESIA, INC. D/B/A ASIA PACIFIC AIRLINES (DANVILLE, CA)",UNITED STATES,MAGELLAN,Asia Pacific Airlines
MGF,TRTO AGENCY LTD.,MALTA,FOGLIA,Trto Agency
MGG,ELMAGAL AVIATION SERVICES CO. LTD,SUDAN,ELMAGAL,Elmagal Aviation Services
MGH,MAVI GOK HAVACILIK A.S,TURKEY,MAVI,Mavi Gok Airlines
MGI,MARGHI AIR LIMITED,NIGERIA,MARGHI,Marghi Air
MGL,MONGOLIAN AIRLINES,MONGOLIA,MONGOL AIR,Mongolian Airlines
MGM,"TRANSPORTE AEREO MGM, S.A DE C.V.",MEXICO,AERO EMM-GEE-EMM,Mongolian Airlines
MGO,PUNTO FA S.L.,SPAIN,MANGO,Mango
MGP,ARIRANG AVIATION LIMITED,BANGLADESH,MAGPIE,Arirang Aviation
MGR,MAGNA AIR,AUSTRIA,,Magna Air
MGT,AIR ATTACK TECHNOLOGIES,FRANCE,MIGHTYVAN,Air Attack Technologies
MGV,MEGIDO AVIATION,ISRAEL,,Megido Aviation
MGW,MONGOLIAN AIRWAYS CARGO,MONGOLIA,GREAT MONGOLIAN,Mongolian Airways
MGX,MONTENEGRO AIRLINES,MONTENEGRO,MONTAIR,Montenegro Airlines
MGY,MADAGASCAR AIRLINES,MADAGASCAR,MADAGASCAR AIRLINES,Madagascar Airlines
MHA,"MOUNTAIN HIGH AVIATION (WALLA WALLA, WA)",UNITED STATES,MOUNTAIN HIGH,Mountain High Aviation
MHC,"AERO JOMACHA, S.A. DE C.V.",MEXICO,AERO JOMACHA,Aero Jomacha
MHD,YAS AIR KISH,IRAN (ISLAMIC REPUBLIC OF),YAS AIR,Yas Air Kish
MHF,"MARITIME HELICOTPERS (HOMER, AK)",UNITED STATES,AIR MARITIME,Maritime Helicopters
MHH,MOUNTHILL AVIATION RESOURCE SERVICES LTD.,NIGERIA,MOUNTHILL,Mounthill Aviation
MHK,AL-NASER AIRLINES,IRAQ,AL-NASER,Al Naser Airlines
MHL,MERIDIAN AIRLINES LTD,NIGERIA,HASSIMAIR,Meridian Airlines
MHN,MANHATTAN AIR LIMITED,UNITED KINGDOM,MANHATTAN,Manhattan Air
MHO,"MOKULELE AIRLINES (KAILUA'KONA, HI)",UNITED STATES,MAHALO,Mokulele Airlines
MHQ,SKARGARDSHAVETS HELIKOPTERTJANST AB (SHT),FINLAND,HELICARE,Skargardshavets Helikoptertjanst
MHS,AIR MEMPHIS,EGYPT,AIR MEMPHIS,Air Memphis
MHU,AIR MEMPHIS,UGANDA,MEMPHIS UGANDA,Air Memphis
MHV,"MHS AVIATION GMBH, GRUENWALD",GERMANY,SNOWCAP,MHS Aviation
MHY,METRON AVIATION,UNITED STATES,,Metron Aviation
MIA,"MAURIA, SOCIETE MAURITANIENNE D'AVIATION",MAURITANIA,MAURIA,Mauria
MIC,"MINT LINEAS AEREAS, S.A.",SPAIN,MINT AIRWAYS,Mint Airways
MID,"WATERS AERO-MARINE, INC. D/B/A PENOBSCOT ISLAND AIR (SOUTH THOMASTON, ME)",UNITED STATES,MIDCOAST,Waters Aero Marine
MIE,"AERO PREMIER DE MEXICO, S.A. DE C.V.",MEXICO,AEROPREMIER,Aero Premier De Mexico
MIG,"RUSSIAN AIRCRAFT CORPORATION -MIG, FEDERAL STATE UNITARY ENTERPRISE",RUSSIAN FEDERATION,MIG AVIA,Russian Aircraft Corporation MIG
MIH,MASSY AIRLINES,NIGER,MASSYLINE,Massy Airlines
MIM,MILLESIME AVIATION,FRANCE,MILLESIME,Sparfell France
MIP,THE MITRE CORPORATION,UNITED STATES,,The Mitre Corporation
MIR,"SERVICIOS AEREOS MIRA, S.A. DE C.V.",MEXICO,AEROMIR,Servicios Aereos Mira
MIS,BIRD IN A BIPLANE LTD,UNITED KINGDOM,ARTEMIS,Bird In A Biplane
MIT,"FLIGHT LINE, INC. (JACKSON, MS)",UNITED STATES,MATCO,Flight Line
MIZ,"DESARROLLO MILAZ, S.A. DE C.V.",MEXICO,MILAZ,Desarrollo Milaz
MJA,ALMAJARA AVIATION,SUDAN,MAJARA,Almajara Aviation
MJB,"IBERFLY, S.L.",SPAIN,,Iberfly
MJC,"MANDARIN AIR CO., LTD",CHINA,AIR MANDA,Mandarin Air
MJE,EMPIRE AVIATION GROUP,UNITED ARAB EMIRATES,EMJET,Empire Aviation
MJF,MJET GMBH,AUSTRIA,EM-EXPRESS,MJET
MJI,"MAJESTIC JET, INC. (FT. LAUDERDALE, FL)",UNITED STATES,MAJESTIC JET,Majestic Jet
MJJ,MJETS LIMITED,THAILAND,SPEEDY,MJets
MJN,ROYAL AIR FORCE OF OMAN (AIR TRANSPORT),OMAN,MAJAN,Royal Air Force of Oman
MJP,AIR MAJORO S.A.,PERU,AIR MAJORO,Air Majoro
MJR,"MIDAMERICA JET, INC. (OWENSBORO, KY)",UNITED STATES,MAJOR,MidAmerica Jet
MJS,"AIRCHARTERS WORLWIDE INC. (FT. LAUDERDALE, FL)",UNITED STATES,JET SAVER,Aircharters Worldwide
MJT,"MADJET-TRANSPORTES AEREOS, S.A.",PORTUGAL,MADJET,Madjet Transportes Aereos
MKA,MOKA AIRWAYS,YEMEN,MOKA AIR,Moka Airways
MKB,MACK AIR,BOTSWANA,GREENTAIL,Mack Air
MKG,AIR MEKONG (MEKONG AVIATION JOINT STOCK COMPANY),VIET NAM,MEKONG,Air Mekong
MKL,"MCCALL AVIATION, INC. (MCCALL, ID)",UNITED STATES,MCCALL,McCall Aviation
MKR,"LANMEI AIRLINES (CAMBODIA) CO., LTD",CAMBODIA,AIR LANME,Lanmei Airlines
MKT,PT. PERSADA PERKASA AIRNESIA,INDONESIA,LASYITA,Persada Perkasa Airnesia
MKU,"ISLAND AIR (HONOLULU, HI)",UNITED STATES,MOKU,Island Air
MKV,MAK AVIATION SERVICES,CANADA,,Mak Aviation Services
MLA,"FORTY-MILE AIR (TOK, AK)",UNITED STATES,MILE-AIR,40-Mile Air
MLB,MANAF INTERNATIONAL AIRWAYS,BURUNDI,MANAF,Manaf International Airways
MLD,AIR MOLDOVA,REPUBLIC OF MOLDOVA,AIR MOLDOVA,Air Moldova
MLE,MOLDAEROSERVICE,REPUBLIC OF MOLDOVA,MOLDAERO,Moldaeroservice
MLG,MALAGASY AIRLINES,MADAGASCAR,,Malagasy Airlines
MLH,AVION EXPRESS MALTA LTD,MALTA,SOUTH WIND,Avion Express Malta
MLI,MAIS LINHAS AEREAS S.A.,BRAZIL,DEMAIS,Mais Linhas Aereas
MLK,MILLENNIUM AIR,NIGERIA,NIGERJET,Millennium Air
MLL,AEROCLUB DE MALLORCA,SPAIN,MALLORCA,Aeroclub de Mallorca
MLM,COMLUX (MALTA) LTD,MALTA,LUXMALTA,Comlux Malta
MLN,"CORPORATE AIR, LLC (WEST MIFFLIN, PA)",UNITED STATES,MILLENNIUM,Corporate Air
MLO,"SERVICIOS AEREOS MILENIO, S.A. DE C.V.",MEXICO,MILENIO,Servicios Aereos Milenio
MLS,"MALL AIRWAYS, INC. (ALBANY, NY)",UNITED STATES,MALL-AIRWAYS,Mall Airways
MLT,MALETH AERO AOC LTD,MALTA,MALETH,Maleth-Aero
MLU,ZRACNO PRISTANISTE MALI LOSINJ D.O.O.,CROATIA,MALI LOSINJ,Zracno Pristaniste Mali Losinj
MLV,"MULTISERVICIOS AEREOS DEL VALLE, S.A. DE C.V.",MEXICO,MULTI VALLE,Multiservicios Aereos Del Valle
MLX,MALAWI EXPRESS LIMITED,MALAWI,MALAWI EXPRESS,Malawi Express
MMA,MYANMAR AIRWAYS INTERNATIONAL CO. LTD,MYANMAR,MYANMAR,Myanmar Airways International
MMD,AIR ALSIE A/S,DENMARK,MERMAID,Air Alsie
MME,MULTIMEDIA ENTERTAINMENT GROUP AIR (PTY) LTD T/A MEGA,SOUTH AFRICA,MAJESTIC AIR,Multimedia Entertainment Group Air
MMF,NATO SUPPORT AND PROCUREMENT AGENCY,NETHERLANDS,MULTI,Nato Support And Procurement Agency
MMG,AEREO RUTA MAYA,GUATEMALA,RUTA MAYA,ARM Aviacion
MMH,"MCMAHON HELICOPTER SERVICES, INC.",UNITED STATES,NIGHT RIDER,McMahon Helicopter
MMI,MARINA MILITARE ITALIANA,ITALY,ITALIAN NAVY,Italian Navy
MMJ,MACAU JET INTERNATIONAL,CHINA,MACAUJET,Macau Jet International
MML,HUNNU AIR,MONGOLIA,TRANS MONGOLIA,Hunnu Air
MMM,MERIDIAN AIR COMPANY,RUSSIAN FEDERATION,AVIAMERIDIAN,Meridian Air Company
MMN,"PRO AIRWAYS, LLC (PLYMOUTH, MA)",UNITED STATES,MINUTEMAN,ProAirways
MMO,MALTA MEDAIR,MALTA,MALIT,Malta MedAir
MMU,ROADRUNAIR AVIATION,UNITED STATES,SKY TOUR,Roadrunair Aviation
MMY,"IASCO FLIGHT TRAINING (REDDING, CA)",UNITED STATES,MARMOT,IASCO Flight Training
MMZ,EUROATLANTIC AIRWAYS,PORTUGAL,EUROATLANTIC,EuroAtlantic Airways
MNB,MNG HAVAYOLLARI VE TASIMACILIK A.S.,TURKEY,BLACK SEA,MNG Airlines
MND,CORPORATEJETS XXI S.A.,SPAIN,CUGAT,Corporatejets Xxi
MNE,TOMONTENEGRO,MONTENEGRO,MOUNT EAGLE,Air Montenegro
MNG,AERO MONGOLIA,MONGOLIA,AERO MONGOLIA,Aero Mongolia
MNH,"MONARCH AIRLINES (GRAND JUNCTION, CO)",UNITED STATES,MONARCH AIR,Monarch Airlines
MNJ,MENAJET,LEBANON,MENAJET,Menajet
MNK,REAL AEROCLUB DE MAHON,SPAIN,,Real Aeroclub De Mahon
MNM,MANASIK AVIATION COMPANY,SAUDI ARABIA,MANASIK,Manasik Aviation
MNO,TULCA (PTY) LTD,SOUTH AFRICA,TULCA,Mango
MNS,MEDSKY AIRWAYS,LIBYA,MEDSKY,Medsky Airways
MNT,MONTSERRAT AIRWAYS LTD (T/A FLYMONTSERRAT),UNITED KINGDOM,MONTSERRAT,FlyMontserrat
MNU,"ELITE AIRWAYS (PORTLAND, ME)",UNITED STATES,MAINER,Elite Airways
MNV,MAURITANIENNE AERIENNE ET NAVALE,MAURITANIA,NAVALE,Mauritanienne Aerienne Et Navale
MNX,MANX AIRLINES LTD.,UNITED KINGDOM,MANX,Manx Airlines
MNY,"MOONEY AIRCRAFT CORPORATION (KERRVILLE, TX)",UNITED STATES,MOONEY FLIGHT,Mooney Aircraft Corporation
MOC,AERO MARAT SA DE CV,MEXICO,AEROMARAT,Aero Marat
MOD,AEROCLUBE DE COIMBRA,PORTUGAL,MONDEGO,Aero Clube de Coimbra
MOG,BAE SYSTEMS (CORPORATE AIR TRAVEL) LTD,UNITED KINGDOM,FELIX,BAE Systems
MOK,LIGHT AIRCRAFT ASSOCIATION OF THE CZECH REPUBLIC,CZECHIA,,Light Aircraft Association of the Czech Republic
MOL,"TAXI AEREO DE MORELIA, S.A. DE C.V.",MEXICO,TAXI MOREL,Taxi Aereo De Morelia
MOM,AIR COMPANY ALTAIR LIMITED LIABILITY COMPANY,RUSSIAN FEDERATION,RUSALT,Air Company Altair
MON,MONARCH AIRLINES LTD.,UNITED KINGDOM,MONARCH,Monarch Airlines
MOO,MOONAIR,ISRAEL,,Moonair
MOP,"APA - AEROPUBLICITARIA DE ANGOLA, LDA",ANGOLA,PUBLICITARIA,Aeropublicitaria De Angola
MOR,"AEROLINEAS DE MORELIA, S.A. DE C.V.",MEXICO,AEROMORELIA,Aerolineas De Morelia
MOT,MOTAHIDA AVIATION,LIBYA,MOTAHIDA,Motahida Aviation
MOV,VIM AIRLINES,RUSSIAN FEDERATION,MOV AIR,Vim Airlines
MOW,"MOHAWK AIRLINES (ONEONTA, NY)",UNITED STATES,MOHAWK AIR,Mohawk Airlines
MOZ,SALZBURGJETAVIATION GMBH,AUSTRIA,MOZART,Salzburg Jet Aviation
MPA,"MID-PACIFIC AIRLINES, INC. (HONOLULU, HI)",UNITED STATES,MID PAC,Mid-Pacific Airlines
MPC,MPC AIR DOO BEOGRAD (NOVI BEOGRAD),SERBIA,,MPC Air
MPD,AIR COMET,SPAIN,RED COMET,Air Comet
MPE,CANADIAN NORTH INC.,CANADA,EMPRESS,Canadian North
MPH,MARTINAIR HOLLAND N.V.,NETHERLANDS,MARTINAIR,Martinair
MPK,AIR INDUS,PAKISTAN,,Air Indus
MPL,"MASTER PLANNER, INC.",UNITED STATES,,Master Planner
MPO,"TRANSPORTES AEREOS AMPARO, S.A. DE C.V.",MEXICO,AMPARO,Transportes Aereos Amparo
MPR,EMPIRE AVIATION SERVICES LIMITED,NIGERIA,HONEY BEE,Empire Aviation Services
MQT,AIR ITM,FRANCE,MUSKETEER,Air ITM
MRA,"MARTINAIRE (ADDISON, TX)",UNITED STATES,MARTEX,Martinaire
MRC,"MARTIN COMPANIES (KILGORE, TX)",UNITED STATES,MARTRANS,Martin Companies
MRD,"MERIDIAN AIR CARGO, INC. (MERIDIAN, MS)",UNITED STATES,MERIDIAN,Meridian Air Cargo
MRE,NAMIBIA COMMERCIAL AVIATION (PTY) LTD,NAMIBIA,MED RESCUE,Namibia Commercial Aviation
MRF,MAURITANIENNE AIR FRET,MAURITANIA,MAUR-FRET,Mauritanienne Air Fret
MRH,MARHAM FTU,UNITED KINGDOM,MARHAM,RAF Marham
MRJ,MERAJ AIRLINES,IRAN (ISLAMIC REPUBLIC OF),MERAJ AIRLINE,Meraj Airlines
MRK,"MARKAIR INC. (ANCHORAGE, AK)",UNITED STATES,MARKAIR,MarkAir
MRL,MR LINES,GABON,,Mr Lines
MRN,MISSIONS GOUVERNEMENTALES FRANCAISES,FRANCE,MARIANNE,Missions Gouvernementales Francaises
MRO,"MORRISON FLYING SERVICE, INC. (HELENA, MT)",UNITED STATES,MORRISON,Morrison Flying Service
MRP,ABAS,CZECHIA,ABAS,Abas
MRR,"WEST ISLE AIR, INC. (ANACORTES, WA)",UNITED STATES,MARINER,West Isle Air
MRS,ESCADRON ROYAL MAROC,MOROCCO,,Escadron Royal Maroc
MRT,AIR MAURITANIE,MAURITANIA,MIKE ROMEO,Air Mauritanie
MRV,LLC XENA,UKRAINE,XENA,XENA
MRX,"HERMEN'S MARKAIR EXPRESS (ST. MARY'S, AK)",UNITED STATES,SPEEDMARK,Hermen's Markair Express
MRY,AIR MARINE,FRANCE,AIR MARINE,Air Marine
MRZ,MEDICAL AIR RESCUE SERVICES (MARS),ZIMBABWE,MARS,Medical Air Rescue Services
MSA,POSTE AIR CARGO S.R.L.,ITALY,MISTRAL WINGS,Poste Air Cargo
MSB,AIR STORK,REPUBLIC OF MOLDOVA,LONG,Air Stork
MSC,AIR CAIRO,EGYPT,,Air Cairo
MSE,EGYPTAIR EXPRESS,EGYPT,EGYPTAIR EXPRESS,Egyptair Express
MSF,"MINSHENG INTERNATIONAL JET CO., LTD.",CHINA,MINSHENG,Minsheng International Jet
MSG,SAR - SERVICO AEREO REGIONAL,MOZAMBIQUE,SAR-REGIONAL,Servico Aereo Regional
MSH,"U S MARSHALS SERVICE, U.S. DEPARTMENT OF JUSTICE (WASHINGTON, DC)",UNITED STATES,MARSHALAIR,U.S. Marshals Service
MSI,MOTOR SICH,UKRAINE,MOTOR SICH,Motor Sich Airlines
MSJ,"MAGNUM AIR (SKY JET), INC.",PHILIPPINES,MAGNUM AIR,SkyJet Airlines
MSK,MAK.KG AIRLINES,KYRGYZSTAN,MAK AIRLINES,MAK KG Airlines
MSL,MARSLAND AVIATION,SUDAN,MARSLANDAIR,Marsland Aviation
MSM,AEROMAS,URUGUAY,AEROMAS EXPRESS,Aeromas
MSN,"MILENIUM AIR SERVICIOS AEREOS INTEGRADOS, S.A. DE C.V.",MEXICO,MILCARGO,Milenium Air Servicios Aereos Integrados
MSP,SERVICIO DE VIGILANCIA AEREA DEL MINISTERIO DE SEGURIDAD PUBLICA,COSTA RICA,SEGURIDAD,Costa Rican Ministry of Public Security
MSQ,META - MESQUITA TRANSPORTES AEREOS LTDA,BRAZIL,META,Meta Linhas Aereas
MSR,EGYPT AIR,EGYPT,EGYPTAIR,Egyptair
MSS,GLOBAL AVIATION SARL,MAURITANIA,GLOBE MASTER,Global Aviation
MST,MASTER TOP LINHAS AEREAS LTDA.,BRAZIL,MASTER,Master Top Linhas Aereas
MSU,MGC AVIATION TA MALUTI SKY,LESOTHO,MALUTI SKY,Mgc Aviation Ta Maluti Sky
MSX,EGYPTAIR CARGO,EGYPT,EGYPTAIR CARGO,Egyptair Cargo
MSY,MASSEY UNIVERSITY SCHOOL OF AVIATION,NEW ZEALAND,MASSEY,Massey University School of Aviation
MTA,"MITCHELL AERO, INC. D/B/A GAK/MITCHELL AERO, INC. (MILWAUKEE, WI)",UNITED STATES,GAK AVIATION,GAK/Mitchell Aero
MTB,"AEROTAXIS METROPOLITANOS, S.A. DE C.V.",MEXICO,AEROMETROPOLIS,Aerotaxis Metropolitanos
MTD,METROJETS LLC,UNITED STATES,MATADOR,Metrojets
MTE,MT FLY,MOROCCO,TELEJET,Mt Fly
MTF,INTERJET S.R.L.,ITALY,INTERJET,Interjet
MTG,"SERVICIOS AEREOS M.T.T., S.A. DE C.V.",MEXICO,AERO TETE,Servicios Aereos MTT
MTH,"MASSACHUSETTS INSTITUTE OF TECHNOLOGY (LEXINGTON, MA)",UNITED STATES,RESEARCH,Massachusetts Institute of Technology
MTI,"MONTERREY AIR TAXI, S.A. DE C.V.",MEXICO,MONTERREY AIR,Monterrey Air Taxi
MTJ,METROJET LIMITED,CHINA,METROJET,Metrojet Limited
MTK,"AIR METACK, LDA",ANGOLA,AIRMETACK,Air Metack
MTL,RAF-AVIA,LATVIA,MITAVIA,RAF-Avia
MTM,MD AIR LTD,UNITED KINGDOM,METACHEM,MD Air
MTN,"MOUNTAIN AIR CARGO, INC. (DENVER, NC)",UNITED STATES,MOUNTAIN,Mountain Air Cargo
MTO,MARATHON AIRLINES,GREECE,MARATHON,Marathon Airlines
MTR,"METROFLIGHT INC. (HOUSTON, TX)",UNITED STATES,METRO,Metroflight
MTS,"MED JETS, S.A. DE C.V.",MEXICO,MEDSERVICE,Med Jets
MTU,MIDDLE TENNESSEE STATE UNIVERSITY (MTSU),UNITED STATES,BLUE RAIDER,Middle Tennessee State University
MTW,MAURITANIA AIRWAYS,MAURITANIA,MAURITANIA AIRWAYS,Mauritania Airways
MTX,"MULTI TAXI, S.A. DE C.V.",MEXICO,MULTITAXI,Multi Taxi
MUC,AIR MUNICH AVIATION AG,GERMANY,AIR MUNICH,Air Munich Aviation AG
MUI,"TRANS AIR (HONOLULU, HI)",UNITED STATES,TRANSAIR,Transair
MUK,MAERSK AIR CARGO UK LTD,UNITED KINGDOM,BLUE STAR,Maersk Air Cargo
MUN,"AEROMUNDO EJECUTIVO, S.A. DE C.V.",MEXICO,AEROMUNDO,Aeromundo Ejecutivo
MUR,ATLAS AIR COMPANY,RUSSIAN FEDERATION,ATLAS SKY,Atlas Air
MUS,AIR ADELPHI LTD,SAINT VINCENT AND THE GRENADINES,ADELPHI,Air Adelphi
MUT,"AZIMUT, LLC",RUSSIAN FEDERATION,IGAVIA,Azimut
MVA,"MISSISSIPPI VALLEY AIRWAYS, INC. (LACROSSE, WI)",UNITED STATES,VALAIR,Mississippi Valley Airlines
MVE,MOVE AIRCRAFT FLIGHT SOLUTIONS,MALTA,MOVE FLIGHTS,Move Aircraft Flight Solutions
MVI,METRO BUSINESS AVIATION LTD,UNITED KINGDOM,,Metro Business Aviation
MVJ,MIRA VISTA AVIATION,UNITED STATES,MIRA VISTA,Mira Vista Aviation
MVK,NORTH STAR AVIATION,UNITED STATES,MINN STATE,North Star Aviation
MVP,"PREMIER AIR, INC. DBA PREMIER PRIVATE JETS",UNITED STATES,ALLSTAR,Premier Private Jets
MVR,"MAVERICK AIRWAYS CORPORATION (DENVER, CO)",UNITED STATES,MAV-AIR,Maverick Airways
MVS,SENOK AVIATION (PVT) LTD,SRI LANKA,AIR SENOK,Senok Aviation
MWA,MIDWEST AIRLINES,EGYPT,,Midwest Airlines
MWG,MASWINGS,MALAYSIA,MASWINGS,MASwings
MWH,ELEMENTAL AVIATION,UNITED STATES,MEGA WATT,Elemental Aviation
MWI,MALAWIAN AIRLINES 2014,MALAWI,MALAWIAN,Malawian Airlines
MWL,"GERLACH & ASSOCIATES, LLC D/B/A MIDWEST AIR LINK (VALPARAISO, IN)",UNITED STATES,MIDWEST AIRLINK,Gerlach & Associates
MWM,MODERN TRANSPORTE AEREO DE CARGA S.A.,BRAZIL,MODERNAIR,Modern Logistics
MWN,MAX AIR SA NIGER,NIGER,MAX NIGER,Max Air Sa Niger
MWS,MALTA WINGS CO. LTD,MALTA,MALTA WINGS,Malta Wings
MWT,"MIDWEST AVIATION DIVISION, INC. (MARSHALL, MN)",UNITED STATES,MIDWEST,Midwest Aviation Division
MWW,MIDWEST WINGS,CAMEROON,,Midwest Wings
MWY,MAURITANIENNE AIR WAYS,MAURITANIA,MAURITANIENNE,Mauritanienne Airways
MXA,"GRUPO AEROPORTUARIO, FERROVIARIO, DE SERVICIOS AUXILIARES Y CONEXOS, OLMECA-MAYA-MEXICA, S.A. DE C.V.",MEXICO,MEXICANA,Mexicana
MXD,MALINDO AIRWAYS SDN. BHD. DBA BATIK AIR,MALAYSIA,MALINDO,Batik Air
MXE,MOCAMBIQUE EXPRESSO,MOZAMBIQUE,MOZAMBIQUE EXPRESS,Mocambique Expresso
MXF,"MAXIMUM FLIGHT ADVANTAGES, LLC (MIAMISBURG, OH)",UNITED STATES,MAXFLIGHT,Maximum Flight Advantages
MXG,PRESIDENCIA DE MEXICO,MEXICO,PRESIDENCIA DE MEXICO,Presidencia De Mexico
MXM,MAXIMUS AIRLINES,UKRAINE,MAXLINES,Maximus Airlines
MXO,"AEROTAXI MEXICANO, S.A. DE C.V.",MEXICO,MEXAERO,Aerotaxi Mexicano
MXP,"MAY AIR XPRESS, INC. (EL DORADO, AR)",UNITED STATES,BEECHNUT,May Air Xpress
MXQ,"TRANSPORTES AEREOS MEXIQUENSES, S.A. DE C.V.",MEXICO,MEXIQUENSES,Transportes Aereos Mexiquenses
MXS,"SUNRISE AIRLINES INC. D/B/A MILLON EXPRESS (MIAMI, FL)",UNITED STATES,MILLON EXPRESS,Millon Express
MXT,"MEXICO TRANSPORTES AEREOS, S.A. DE C.V.",MEXICO,TRANSMEX,Mexico Transportes Aereos
