3Ltr,Company,Country,Telephony,FriendlyName
ADO,"AIRDO CO., LTD",JAPAN,AIR DO,Air Do
ADP,"AERODIPLOMATIC, S.A. DE C.V.",MEXICO,AERODIPLOMATIC,Aerodiplomatic
ADR,ADRIA AIRWAYS,SLOVENIA,ADRIA,Adria Airways
ADS,ANDERSON AIR LTD.,CANADA,ANDERSON,Anderson Air
ADT,"ARRENDAMIENTOS Y TRANSPORTES TURISTICOS, S.A. DE C.V.",MEXICO,ARRENDA-TRANS,Arrendaminetos y Transportes Turisticos
ADV,ADVANCED FLIGHT TRAINING LTD,UNITED KINGDOM,ADVANCED,Advanced Flight Training
ADY,AIR ARABIA ABU DHABI,UNITED ARAB EMIRATES,NAWRAS,Air Arabia Abu Dhabi
ADZ,COMPASS CARGO AIRLINES,BULGARIA,MIGRATOR,Compass Cargo Airlines
AEA,AIR EUROPA,SPAIN,EUROPA,Air Europa
AEB,AVION EXPRESS BRASIL,BRAZIL,AVION EXPRESS,Avion Express
AEC,"AEROSERVICIOS DE ALMERIA 2000, S.L.",SPAIN,,Aeroservicios De Almeria 2000
AED,EADS CASA,SPAIN,,EADS CASA
AEE,AEGEAN AIRLINES,GREECE,AEGEAN,Aegean Airlines
AEF,AEREA,SPAIN,,Aerea
AEG,AIREST,ESTONIA,AIREST CARGO,Airest
AEH,"AERO4M, D.O.O.",SLOVENIA,VEGA,Aero4m
AEI,AIR POLAND SP. Z.O.O.,POLAND,POLISH BIRD,Air Poland
AEJ,AEROJET EXECUTIVE,VENEZUELA,AEROJET,Aerojet Executive
AEK,AEROCON LTDA.,BOLIVIA,AEROCON,Aerocon
AEL,AEGLE AVIATION (ARUBA) N.V.,NETHERLANDS,RHOMBUS,Aegle Aviation Aruba
AEM,AERO MADRID,SPAIN,AEROMADRID,Aero Madrid
AEN,AIREON CANADA LTD.,CANADA,,Aireon Canada
AEO,AERO GUERNSEY LTD,GUERNSEY,AERO,Aero Guernsey
AEP,AEROTEC,SPAIN,AEROTEC,Aerotec
AER,"ALASKA CENTRAL EXPRESS, INC. (FAIRBANKS, AK)",UNITED STATES,ACE AIR,Alaska Central Express
AES,AEROSPACE ENGINEERING SERVICES,MALTA,GEMINA,Aerospace Engineering Services
AET,AERONAUTICAL RADIO OF THAILAND LTD,THAILAND,AEROTHAI,Aeronautical Radio of Thailand
AEV,"AEROVENTAS, S.A.",MEXICO,AEROVENTAS,Aeroventas
AEW,AEGEAN EXECUTIVE S.A.,GREECE,SEAGULL,Aegean Executive
AEX,AEROHELIX S. DE R.L. DE C.V.,MEXICO,AEROX,Aerohelix
AEY,AEROSERVICIOS CENTROAMERICANOS S. DE R.L.,PANAMA,ZEUS,Aeroservicios Centroamericanos
AEZ,AEROITALIA SRL,ITALY,AEROITALIA,Aeroitalia
AFA,ALFA AIR,CZECHIA,BLUE ALFA,Alfa Air
AFB,BULGARIAN AIR FORCE,BULGARIA,BULAF,Bulgarian Air Force
AFC,AERORUTAS DEL SUR C.A.,VENEZUELA,AERORUTAS,Aerorutas Del Sur
AFD,AIRFUTURES LIMITED,GHANA,,Airfutures Limited
AFE,"AIRFAST INDONESIA, PT.",INDONESIA,AIRFAST,Airfast Indonesia
AFF,AF-AVIATION LTD,UNITED KINGDOM,AIRFERRY,AF Aviation
AFG,ARIANA AFGHAN AIRLINES,AFGHANISTAN,ARIANA,Ariana Afghan Airlines
AFH,AIR AFGHANISTAN INTERNATIONAL,AFGHANISTAN,AIR AFGHANISTAN,Air Afghanistan International
AFI,AFRICAONE,UGANDA,AFRICAWORLD,Africaone
AFJ,ALLIANCE,UGANDA,JAMBO,Alliance Air
AFL,AEROFLOT - RUSSIAN AIRLINES,RUSSIAN FEDERATION,AEROFLOT,Aeroflot
AFM,AEROSPEED FORMATION ET MAINTENANCE,FRANCE,EPIC AIR,Aerospeed Formation et Maintenance
AFN,ATLANTSFLUG LTD.,ICELAND,HEKLA,Atlantsflug
AFP,PORTUGUESE AIR FORCE,PORTUGAL,PORTUGUESE AIR FORCE,Portuguese Air Force
AFQ,ALBA SERVIZI AEROTRASPORTI SPA,ITALY,ALBA,Alba Servizi Aerotrasporti
AFR,AIR FRANCE,FRANCE,AIRFRANS,Air France
AFS,AIR DATA LTD,UNITED KINGDOM,,Air Data
AFV,AVFINITY,UNITED STATES,,Avfinity
AFW,AFRICA WORLD AIRLINES LIMITED,GHANA,BLACKSTAR,Africa World Airlines
